benchmark,loc_wrong,loc_correct,symb_wrong,symb_correct,matches,time,precision,recall,f1
ALEXTASK,40,37,124,138,105,35.27,0.98,1.00,0.99
ANKTRAIN,30,41,81,109,61,4.12,1.00,0.92,0.96
CHEFAPAR,36,33,153,150,103,20.84,0.98,0.89,0.93
CHRL4,29,49,31,53,26,1.13,0.97,0.99,0.98
DISHOWN,47,53,59,77,35,2.51,0.91,0.74,0.82
ENTEXAM,53,67,91,100,77,11.25,0.98,0.91,0.94
KOL16B,29,34,51,54,37,2.87,1.00,0.90,0.95
NOTINCOM,36,29,58,61,49,9.38,0.99,0.98,0.99
RGAME,32,38,22,23,17,0.49,1.00,0.93,0.96
TRISQ,20,24,82,183,57,27.76,0.93,0.87,0.89
